country,poverty
Algeria,0.45
Angola,49.91
Benin,49.61
Botswana,14.49
Burkina Faso,43.84
Burundi,72.8
Cape Verde,3.35
Cameroon,25.97
Central African Republic,65.87
Chad,38.08
Comoros,19.07
Congo,39.57
Democratic Republic of Congo,77.15
Djibouti,17.01
Egypt,3.81
Eswatini,29.17
Ethiopia,30.8
Gabon,3.39
Gambia,10.3
Ghana,12.66
Guinea,36.09
Guinea-Bissau,68.39
Kenya,37.08
Lesotho,27.22
Liberia,44.43
Libya,
Madagascar,78.84
Malawi,69.21
Mali,50.29
Mauritania,5.97
Mauritius,0.21
Morocco,0.92
Mozambique,63.68
Namibia,13.79
Niger,45.4
Nigeria,39.09
Rwanda,56.48
Senegal,38.53
Sierra Leone,42.99
Somalia,68.62
South Africa,18.7
South Sudan,76.37
Sudan,12.16
Tanzania,49.37
Togo,51.14
Tunisia,0.25
Uganda,41.35
Zambia,58.75
Zimbabwe,39.53
