latitude,longitude
33.0373,40.2826
34.3275,44.7259
18.5435,-72.3388
7.1036,-77.7628
0.0479,29.6868
13.9964,-3.9414
-20.7667,47.0833
8.5391,37.428
16.9187,97.37
15.6672,98.0255
16.9188,96.163
15.2465,97.8551
32.2147,70.3773
34.0857,74.8056
18.3901,81.6594
24.8687,66.9946
34.2894,44.7692
5.8538,6.8603
10.8121,7.3022
22.3777,95.9258
22.8246,95.1904
19.382,97.1247
18.013,81.0512
32.9705,70.2785
19.4576,97.2828
-3.205,28.963
-3.205,28.963
32.1,35.1667
34.3142,47.065
36.8465,40.3284
34.025,45.09
-1.975,-48.9597
14.9454,-0.0196
14.0487,0.3581
2.39,45.3833
4.736,45.2043
31.2878,34.2369
8.3963,47.9357
1.8,44.7
-11.5892,40.1931
19.4576,97.2828
15.2465,97.8551
16.5233,98.2847
35.7688,43.6301
-4.1547,28.7326
5.4527,5.8696
15.9167,-85.9542
21.1937,-97.7438
26.0622,-99.1958
11.4864,-5.4821
7.2317,10.6253
22.9321,95.23
16.3021,43.7106
15.5381,45.1357
-10.3161,150.4592
-5.6334,143.8928
14.6225,-90.5184
7.2763,-71.9181
35.429,69.7348
36.1239,36.888
34.872,40.639
33.0373,40.2826
33.9798,44.9362
36.3539,37.6765
-22.8569,-43.3008
-9.0078,-36.0554
-16.4896,-52.6947
-6.0675,-49.9022
-1.7181,-48.8825
-23.5488,-46.5369
3.8096,43.2463
5.3397,20.7308
5.9333,10.1667
13.4022,-3.0943
21.6335,95.2417
21.9341,94.8748
33.6943,75.2612
23.1613,92.2763
32.9705,70.2785
12.942,-8.657
5.7829,6.8655
7.1739,124.6905
19.6742,97.2099
22.9828,94.0053
23.9933,97.9103
26.876,97.6483
26.0001,63.0527
14.1988,-6.9248
9.5,41.8833
15.3071,45.386
15.4493,45.0189
35.5066,40.6618
33.6454,74.9639
35.8186,38.2169
34.4322,40.9923
36.0351,36.8376
32.3637,-117.0545
-20.3194,-40.3378
-15.7433,-43.0273
12.565,9.9573
31.1316,33.7984
-8.662,36.4169
2.0095,45.25
35.429,69.7348
32.7362,36.0673
-3.6894,28.8373
17.9712,-76.7928
20.6386,-103.3072
-3.1019,-60.025
36.139,36.4537
34.025,45.09
8.0336,29.183
34.4278,43.0865
34.025,45.09
34.9179,43.3868
34.025,45.09
35.0114,40.5047
35.0114,40.5047
-19.7697,-43.8514
-3.1782,-41.8706
-1.1933,-47.1828
31.1316,33.7984
8.3963,47.9357
2.1311,45.0377
22.6884,95.3209
22.1742,94.1358
24.1009,98.3161
36.729,68.857
18.013,81.0512
-3.7271,28.8119
-3.7271,28.8119
-3.6894,28.8373
11.05,-0.25
8.0333,4.7
25.6744,-100.4617
8.6039,-73.2293
-11.9319,40.1103
22.9993,94.0357
15.038,45.636
15.9167,-85.9542
38.4435,70.8041
35.429,69.7348
34.025,45.09
14.5269,-90.5875
15.6835,45.0262
-23.5488,-46.5369
33.0711,36.1833
35.4681,44.3922
35.3652,37.7886
35.0528,43.5601
-23.9931,-46.2564
-1.7448,-47.0641
15.3071,45.386
14.68,-6.016
15.4241,0.741
10.9508,13.8671
2.0721,45.2231
16.6891,98.5089
19.6742,97.2099
17.2476,80.1436
35.2383,69.7711
1.213,29.6928
-20.2846,44.3168
24.1009,98.3161
16.5555,98.24
19.2883,-99.1671
22.9993,94.0357
16.9888,45.0514
6.9761,124.5289
21.4509,93.9496
35.0534,43.7833
11.7661,32.4268
11.8637,32.314
11.9476,32.1064
13.4833,-88.1833
-3.7172,-38.5431
2.0581,45.3003
9.0131,40.389
9.2351,40.7548
2.0652,45.39
2.0581,45.3003
2.7333,33.6667
22.1742,94.1358
12.2483,99.0401
33.0001,70.0698
33.9271,75.1159
33.816,75.2138
33.7041,74.8216
34.2531,72.3491
31.6133,65.7101
24.1009,98.3161
16.6891,98.5089
19.4576,97.2828
16.6028,98.5383
29.4963,60.8629
2.333,37.983
8.3166,4.5333
13.9286,-89.5042
-11.8642,-55.5025
1.2061,36.5629
12.8185,124.089
14.4862,-4.2433
36.2274,36.9153
-22.9147,-43.4879
0.3046,41.4394
9.2351,40.7548
11.0485,14.1476
0.4389,33.2031
19.0218,96.5827
22.2853,95.4507
6.6082,101.4869
22.9993,94.0357
16.6891,98.5089
26.0001,63.0527
34.8731,71.147
33.7804,75.0661
35.9093,67.2872
1.5667,30.25
-2.9083,29.0344
6.3497,4.8033
7.6077,125.9663
6.5637,124.7692
25.565,96.3011
34.7896,71.1097
-22.1167,-43.2092
22.8547,95.5853
14.1325,43.3885
13.9317,43.4831
16.7685,43.2758
16.6383,43.2417
35.2271,69.4051
21.3717,93.9736
36.0545,36.8548
32.5837,36.1965
32.6089,36.0965
34.7767,44.3056
13.9581,-89.412
13.6333,-88.2667
-11.3833,-37.6578
-19.9317,-44.0536
13.4954,-1.5188
13.5003,-3.1695
13.7034,-2.1413
12.8375,1.6912
13.2125,18.3397
9.7698,38.5154
5.5946,38.7712
9.2351,40.7548
12.851,17.5593
11.2551,14.1482
2.048,45.32
25.6138,96.3148
34.0197,71.5822
34.5167,69.1833
35.2271,69.4051
25.4834,96.2757
32.3235,36.7114
12.2272,9.2806
19.3502,-99.1621
11.2842,49.1816
14.0542,43.5156
15.3424,45.2695
35.9661,69.6497
35.1167,69.3
21.9341,94.8748
16.9888,45.0514
22.9993,94.0357
-20.1286,-40.3078
-6.196,-35.3592
-22.8269,-43.0539
2.0581,45.3003
10.7859,7.5479
12.5657,6.244
31.1316,33.7984
-2.097,28.905
9.7698,38.5154
11.8385,29.3599
2.0678,45.35
14.069,-4.0809
21.9274,94.3579
21.4522,94.4737
17.0867,96.2
31.6133,65.7101
35.9428,39.0519
10.6212,1.2665
-1.3794,29.434
33.7938,75.107
-19.9317,-44.0536
-22.7439,-43.7075
-10.8528,-37.127
11.2842,49.1816
14.1325,43.3885
15.2667,47.6333
15.5381,45.1357
31.9053,35.215
35.3129,69.5152
-5.8014,146.3802
15.3071,45.386
34.9292,43.4888
14.6225,-90.5184
21.5123,93.949
21.4859,93.9448
34.1959,70.8318
36.7059,40.3406
36.8465,40.3284
34.8832,38.87
35.7552,39.6075
36.9599,44.6039
35.3372,40.1854
-9.7676,-35.8511
-22.9064,-43.1822
-23.478,-54.1875
14.5849,-0.1377
4.9104,31.5965
21.6125,94.8543
24.0997,95.3758
16.9975,96.1346
34.9874,63.1289
34.4265,70.4515
21.93,95.4949
16.5521,98.2671
0.55,29.8167
17.9878,-92.9194
-15.89,-52.2567
-22.8569,-43.3008
11.2842,49.1816
13.9818,43.5955
16.4097,43.0588
17.373,44.6459
13.8457,43.5902
32.4167,35.1667
-5.7933,-35.3294
13.3568,45.6971
6.1334,37.8968
3.3632,-59.8321
8.0953,31.5437
32.7068,36.568
35.605,39.8191
7.0747,-75.1483
0.0389,-51.0664
0.0389,-51.0664
14.0875,-1.6418
13.0725,-3.0694
-12.1111,37.673
-0.3603,42.5463
2.0581,45.3003
5.5029,5.8341
5.5946,38.7712
9.2351,40.7548
-0.1416,29.5511
2.0333,45.35
0.7896,29.8123
8.7333,37.4667
3.3516,44.1223
16.5521,98.2671
19.6303,97.5194
21.4509,93.9496
29.5511,67.8322
35.6216,68.6948
23.1568,94.1222
21.0122,94.1338
34.0197,71.5822
-1.1583,29.569
-11.9319,40.1103
15.3071,45.386
17.373,44.6459
35.6335,69.2602
16.1447,-89.4016
37.2416,42.9257
13.6894,-89.1872
13.8072,-89.1792
13.7869,-89.8572
28.6368,-106.0763
31.7465,-106.485
-22.8569,-43.3008
13.972,0.3096
-11.9319,40.1103
9.9956,13.2181
8.35,17.7667
-1.2293,29.4065
-14.7245,47.781
5.5029,5.8341
5.7306,38.3923
5.3352,39.5712
-3.3333,29.25
11.5221,13.6856
23.8426,96.1091
20.1496,94.9325
17.1144,97.4595
32.2147,70.3773
35.3106,39.8493
5.4223,-0.4669
6.1987,7.0477
24.1009,98.3161
16.6396,98.5281
-10.8528,-37.127
15.311,45.3061
15.2415,45.4578
15.3166,45.4067
15.3071,45.386
35.1092,69.4334
14.2932,-91.9136
16.9962,44.8902
16.9647,44.9188
16.9319,44.9881
16.9333,45.1167
17.0199,44.9491
17.0587,45.0509
8.8194,33.0698
35.8186,38.2169
35.0799,40.5917
35.6288,38.7581
13.6894,-89.1872
-6.4357,-35.2192
-22.8569,-43.3008
-0.0369,-51.1726
-19.5222,-42.6289
-20.4477,-53.7609
2.1311,45.0377
4.1935,37.0775
2.2238,38.0281
31.1316,33.7984
13.8711,1.1245
1.7131,30.5367
1.2632,29.6958
5.2333,39.1833
0.967,29.6073
13.948,-5.6447
16.6891,98.5089
22.3173,95.0197
22.3221,94.9958
34.0857,74.8056
34.7323,71.5338
18.4912,81.2933
24.2166,94.3122
32.961,69.918
34.3933,44.3787
6.097,6.8184
13.0753,6.5105
13.0682,5.2347
-4.2316,-39.1946
7.2904,33.211
8.4667,6.95
34.5167,69.1833
35.2271,69.4051
22.4329,94.8485
22.2448,95.034
15.3071,45.386
14.8,-91.3667
13.3553,39.7548
34.2385,44.992
13.7441,-89.2182
13.9767,-89.7047
17.7547,-98.3897
-22.9147,-43.4879
-22.9147,-43.4879
-26.3042,-48.8439
-22.9147,-43.4879
0.0389,-51.0664
14.0672,-0.0452
-1.267,27.6859
1.2812,29.709
5.7821,39.3076
2.39,45.3833
3.1138,43.5853
16.5555,98.24
16.8788,96.3296
16.6187,94.3544
25.8464,93.4306
14.5169,121.2658
17.521,97.4362
21.6125,94.8543
35.565,45.4329
-4.2738,28.9296
-5.0892,-42.8019
-22.8569,-43.3008
0.9161,31.7742
16.6697,45.3242
15.3166,45.4067
