id,Country,Continent,Calories,Healthy
1,Albania,Europe,0.759638581,4.281675858
2,Algeria,Africa,0.772870191,4.01711778
3,Angola,Africa,1.401920388,4.582558116
4,Anguilla,North America,1.307936031,4.508903222
5,Antigua and Barbuda,North America,0.932927877,4.458330811
6,Argentina,South America,0.652093819,3.4968817
7,Armenia,Asia,1.013010424,3.561060854
8,Aruba,North America,1.129429054,3.964441841
9,Australia,Oceania,0.313935579,2.270715631
10,Austria,Europe,0.349012635,2.905280516
11,Azerbaijan,Asia,0.788297947,2.805918933
12,Bahamas,North America,1.048048051,4.290752694
13,Bahrain,Asia,0.791638235,4.55379047
14,Bangladesh,Asia,0.643520024,3.441523122
15,Barbados,North America,0.895259384,5.891262376
16,Belarus,Europe,0.799425284,4.061629992
17,Belgium,Europe,0.266243314,2.876678049
18,Belize,North America,1.12991063,2.913016384
19,Benin,Africa,0.651227469,3.523153305
20,Bermuda,North America,1.098266497,3.733898606
21,Bhutan,Asia,1.046312885,4.779471981
22,Bolivia,South America,1.467199081,3.758738978
23,Bonaire,North America,0.745992734,3.612100225
24,Bosnia and Herzegovina,Europe,0.705741816,4.284558679
25,Botswana,Africa,0.505090038,3.958068766
26,Brazil,South America,0.84750795,2.807738164
27,British Virgin Islands,North America,1.562592153,3.962111215
28,Brunei,Asia,0.761474462,4.98501209
29,Bulgaria,Europe,0.514931565,4.167510318
30,Burkina Faso,Africa,0.573611327,3.542036729
31,Burundi,Africa,0.707986131,3.439233172
32,Cambodia,Asia,0.992085562,4.518698266
33,Cameroon,Africa,0.893473526,3.601684469
34,Canada,North America,0.678612354,2.976252719
35,Cape Verde,Africa,0.619501806,3.364083781
36,Cayman Islands,North America,1.09466087,3.187522751
37,Central African Republic,Africa,1.020846914,3.267034795
38,Chad,Africa,0.708813159,3.216645812
39,Chile,South America,0.622463862,3.075040316
40,China,Asia,0.847186882,3.608958352
41,Colombia,South America,1.024257877,3.266096458
42,Comoros,Africa,1.100676758,3.357260846
43,Congo,Africa,0.986611486,3.876845836
44,Costa Rica,North America,0.942631128,3.879117852
45,Cote d'Ivoire,Africa,0.814961923,2.889052155
46,Croatia,Europe,0.673078637,4.373040879
47,Curacao,North America,1.136801079,3.243351262
48,Cyprus,Asia,0.581570659,3.051524636
49,Czechia,Europe,0.449308988,3.108033837
50,Democratic Republic of Congo,Africa,0.560192577,3.24618016
51,Denmark,Europe,0.303741478,2.389893956
52,Djibouti,Africa,0.615534816,3.540836588
53,Dominica,North America,1.216278252,4.154977707
54,Dominican Republic,North America,1.180382518,4.024191138
55,Ecuador,South America,1.345774261,3.182589661
56,Egypt,Africa,0.987348298,4.148056121
57,El Salvador,North America,1.459323301,4.686519279
